valeur;gamme_a;modele_a;lmin_n;lmax_n;hmin_n;hmax_n;
458;orcab;f1;0;700;0;1550;
469;orcab;f1;0;700;1551;1650;
485;orcab;f1;0;700;1651;1750;
497;orcab;f1;0;700;1751;1850;
507;orcab;f1;0;700;1851;1950;
519;orcab;f1;0;700;1951;2050;
530;orcab;f1;0;700;2051;2150;
567;orcab;f1;0;700;2151;2250;
584;orcab;f1;0;700;2251;2350;
478;orcab;f1;701;800;0;1550;
491;orcab;f1;701;800;1551;1650;
508;orcab;f1;701;800;1651;1750;
520;orcab;f1;701;800;1751;1850;
532;orcab;f1;701;800;1851;1950;
568;orcab;f1;701;800;1951;2050;
581;orcab;f1;701;800;2051;2150;
595;orcab;f1;701;800;2151;2250;
614;orcab;f1;701;800;2251;2350;
503;orcab;f1;801;900;0;1550;
516;orcab;f1;801;900;1551;1650;
556;orcab;f1;801;900;1651;1750;
570;orcab;f1;801;900;1751;1850;
584;orcab;f1;801;900;1851;1950;
598;orcab;f1;801;900;1951;2050;
613;orcab;f1;801;900;2051;2150;
627;orcab;f1;801;900;2151;2250;
647;orcab;f1;801;900;2251;2350;
544;orcab;f1;901;1000;0;1550;
560;orcab;f1;901;1000;1551;1650;
579;orcab;f1;901;1000;1651;1750;
595;orcab;f1;901;1000;1751;1850;
616;orcab;f1;901;1000;1851;1950;
631;orcab;f1;901;1000;1951;2050;
647;orcab;f1;901;1000;2051;2150;
662;orcab;f1;901;1000;2151;2250;
566;orcab;f1;1001;1100;0;1550;
582;orcab;f1;1001;1100;1551;1650;
603;orcab;f1;1001;1100;1651;1750;
619;orcab;f1;1001;1100;1751;1850;
641;orcab;f1;1001;1100;1851;1950;
458;coop;pf1;0;700;0;1550;
469;coop;pf1;0;700;1551;1650;
485;coop;pf1;0;700;1651;1750;
497;coop;pf1;0;700;1751;1850;
507;coop;pf1;0;700;1851;1950;
519;coop;pf1;0;700;1951;2050;
530;coop;pf1;0;700;2051;2150;
567;coop;pf1;0;700;2151;2250;
584;coop;pf1;0;700;2251;2350;
478;coop;pf1;701;800;0;1550;
491;coop;pf1;701;800;1551;1650;
508;coop;pf1;701;800;1651;1750;
520;coop;pf1;701;800;1751;1850;
532;coop;pf1;701;800;1851;1950;
568;coop;pf1;701;800;1951;2050;
581;coop;pf1;701;800;2051;2150;
595;coop;pf1;701;800;2151;2250;
614;coop;pf1;701;800;2251;2350;
503;coop;pf1;801;900;0;1550;
516;coop;pf1;801;900;1551;1650;
556;coop;pf1;801;900;1651;1750;
570;coop;pf1;801;900;1751;1850;
584;coop;pf1;801;900;1851;1950;
598;coop;pf1;801;900;1951;2050;
613;coop;pf1;801;900;2051;2150;
627;coop;pf1;801;900;2151;2250;
647;coop;pf1;801;900;2251;2350;
544;coop;pf1;901;1000;0;1550;
560;coop;pf1;901;1000;1551;1650;
579;coop;pf1;901;1000;1651;1750;
595;coop;pf1;901;1000;1751;1850;
616;coop;pf1;901;1000;1851;1950;
631;coop;pf1;901;1000;1951;2050;
647;coop;pf1;901;1000;2051;2150;
662;coop;pf1;901;1000;2151;2250;
566;coop;pf1;1001;1100;0;1550;
582;coop;pf1;1001;1100;1551;1650;
603;coop;pf1;1001;1100;1651;1750;
619;coop;pf1;1001;1100;1751;1850;
641;coop;pf1;1001;1100;1851;1950;
458;coop;pf2;0;700;0;1550;
469;coop;pf2;0;700;1551;1650;
485;coop;pf2;0;700;1651;1750;
497;coop;pf2;0;700;1751;1850;
507;coop;pf2;0;700;1851;1950;
519;coop;pf2;0;700;1951;2050;
530;coop;pf2;0;700;2051;2150;
567;coop;pf2;0;700;2151;2250;
584;coop;pf2;0;700;2251;2350;
478;coop;pf2;701;800;0;1550;
491;coop;pf2;701;800;1551;1650;
508;coop;pf2;701;800;1651;1750;
520;coop;pf2;701;800;1751;1850;
532;coop;pf2;701;800;1851;1950;
568;coop;pf2;701;800;1951;2050;
581;coop;pf2;701;800;2051;2150;
595;coop;pf2;701;800;2151;2250;
614;coop;pf2;701;800;2251;2350;
503;coop;pf2;801;900;0;1550;
516;coop;pf2;801;900;1551;1650;
556;coop;pf2;801;900;1651;1750;
570;coop;pf2;801;900;1751;1850;
584;coop;pf2;801;900;1851;1950;
598;coop;pf2;801;900;1951;2050;
613;coop;pf2;801;900;2051;2150;
627;coop;pf2;801;900;2151;2250;
647;coop;pf2;801;900;2251;2350;
544;coop;pf2;901;1000;0;1550;
560;coop;pf2;901;1000;1551;1650;
579;coop;pf2;901;1000;1651;1750;
595;coop;pf2;901;1000;1751;1850;
616;coop;pf2;901;1000;1851;1950;
631;coop;pf2;901;1000;1951;2050;
647;coop;pf2;901;1000;2051;2150;
662;coop;pf2;901;1000;2151;2250;
566;coop;pf2;1001;1100;0;1550;
582;coop;pf2;1001;1100;1551;1650;
603;coop;pf2;1001;1100;1651;1750;
619;coop;pf2;1001;1100;1751;1850;
641;coop;pf2;1001;1100;1851;1950;
